ID;Наименование;Родитель;Категория;"Группа дочернего товара";Цена;"Акционная цена";Валюта;Артикул;"Единица измерения";"В упаковке";"На складе";"Акционный товар";"Рекомендованный товар";"Горячее предложение";Новинка;"Краткое описание";Описание;Производитель;Страна;"В комплекте";"Сопутствующие товары";Тэги;Фотографии;Цвет;Материал;Размер;Механизм
1630;Converse;;"Одежда;Одежда:Мужская;Одежда:Мужская:Обувь";;2344;0;Рубли;o1;штука;1.0000;24;0;0;0;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Обувь от культового бренда обуви - удобная и практичная обувь в повседневном гардеробе. Текстильная подкладка и стелька обеспечивают оптимальный воздухообмен. Плоская подошва &ndash; залог того, что ноги не устанут в течение всего дня.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";"Tom Tailor ";;;"o2;o3;o4;o5";;1434631314.2925.jpg;"Белый;Черный;Серый";;"40-42;42-44;44-46;46-48;48-50";
1631;"Сланцы GETASANDAL";;"Одежда;Одежда:Мужская;Одежда:Мужская:Обувь";;1233;0;Рубли;o2;штука;1.0000;24;0;0;0;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Обувь от культового бренда обуви - удобная и практичная обувь в повседневном гардеробе. Текстильная подкладка и стелька обеспечивают оптимальный воздухообмен. Плоская подошва &ndash; залог того, что ноги не устанут в течение всего дня.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";"Calvin Klein";;;"o1;o3;o4;o5";;1434631314.299.jpg;"Коричневый;Белый;Черный";;"40-42;42-44;44-46;46-48;48-50";
1632;Ideal;;"Одежда;Одежда:Мужская;Одежда:Мужская:Обувь";;2344;0;Рубли;o3;штука;1.0000;24;0;1;0;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Обувь от культового бренда обуви - удобная и практичная обувь в повседневном гардеробе. Текстильная подкладка и стелька обеспечивают оптимальный воздухообмен. Плоская подошва &ndash; залог того, что ноги не устанут в течение всего дня.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";"Макасины Мука";;;"o1;o2;o4;o5";;1434631314.305.jpg;"Красный;Белый;Черный";;"40-42;42-44;44-46;46-48;48-50";
1633;"T.P.T. Shoes";;"Одежда;Одежда:Мужская;Одежда:Мужская:Обувь";;1677;0;Рубли;o4;штука;1.0000;24;0;0;0;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Обувь от культового бренда обуви - удобная и практичная обувь в повседневном гардеробе. Текстильная подкладка и стелька обеспечивают оптимальный воздухообмен. Плоская подошва &ndash; залог того, что ноги не устанут в течение всего дня.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";"Золотой сапожок";Россия;;"o1;o2;o3;o5";;1434631314.3107.jpg;"Коричневый;Серый";;"40-42;42-44;44-46;46-48;48-50";
1634;Tamboga;;"Одежда;Одежда:Мужская;Одежда:Мужская:Обувь";;3788;0;Рубли;o5;штука;1.0000;24;0;0;1;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Обувь от культового бренда обуви - удобная и практичная обувь в повседневном гардеробе. Текстильная подкладка и стелька обеспечивают оптимальный воздухообмен. Плоская подошва &ndash; залог того, что ноги не устанут в течение всего дня.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";Nintendo;Россия;;"o1;o2;o3;o4";;1434631314.3144.jpg;"Белый;Черный";;"40-42;42-44;44-46";
1635;Alcott;;"Одежда;Одежда:Мужская;Одежда:Мужская:Футболки";;2345;0;Рубли;mo1;штука;1.0000;24;0;0;1;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Одежда выполнена из мягкого натурального хлопка фиолетового цвета с выделкой пике. Детали: прямой крой, отложной воротник с планкой на пуговицах, короткие рукава, вышивка с логотипом бренда.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";Керамо;;;"mo2;mo3;gb1;gk3";;1434631314.3179.jpg;"Красный;Черный";Вискоза;"40-42;42-44;44-46";
1636;"Brave Soul";;"Одежда;Одежда:Мужская;Одежда:Мужская:Футболки";;1234;0;Рубли;mo2;штука;1.0000;24;0;0;0;1;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Одежда выполнена из мягкого натурального хлопка фиолетового цвета с выделкой пике. Детали: прямой крой, отложной воротник с планкой на пуговицах, короткие рукава, вышивка с логотипом бренда.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";PARADYZ;;;"mo5;gb1;gb2;dj2";;1434631314.3214.jpg;"Желтый;Серый";Шелк;"40-42;42-44;44-46";
1637;McCrain;;"Одежда;Одежда:Мужская;Одежда:Мужская:Футболки";;2345;0;Рубли;mo3;штука;1.0000;24;0;0;1;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Одежда выполнена из мягкого натурального хлопка фиолетового цвета с выделкой пике. Детали: прямой крой, отложной воротник с планкой на пуговицах, короткие рукава, вышивка с логотипом бренда.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";Decoprint;;;"mo5;gb2;dp3;mp2";;1434631314.3247.jpg;"Зеленый;Коричневый;Бежевый";Вельвет;"40-42;44-46;46-48";
1638;"Burton Menswear";;"Одежда;Одежда:Мужская;Одежда:Мужская:Футболки";;2900;0;Рубли;mo4;штука;1.0000;23;0;0;0;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Одежда выполнена из мягкого натурального хлопка фиолетового цвета с выделкой пике. Детали: прямой крой, отложной воротник с планкой на пуговицах, короткие рукава, вышивка с логотипом бренда.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";Nokia;;;"mo1;mo2;mo3;mo4";;1434631314.3282.jpg;"Желтый;Рисунок;Персиковый";Вискоза;"42-44;44-46;48-50";
1639;Zalora;;"Одежда;Одежда:Мужская;Одежда:Мужская:Футболки";;3789;0;Рубли;mo5;штука;1.0000;24;0;0;1;0;;"<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;"">Одежда выполнена из мягкого натурального хлопка фиолетового цвета с выделкой пике. Детали: прямой крой, отложной воротник с планкой на пуговицах, короткие рукава, вышивка с логотипом бренда.</span></p>
<p><span style=""font-family: Arial, sans-serif; font-size: 13px; line-height: 17.5499992370605px;""><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Остались вопросы? Наша компания ответит на любые вопросы по Ксенмарту.</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Телефон: +7 (495) 268-07-35</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мобильный: 8 (909) 150-34-44</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">E-mail:&nbsp;</span><a href=""mailto:me@ldm-co.ru"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">me@ldm-co.ru</a><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Скайп:&nbsp;dimitriy-ldm</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"">Мы на просторах интернета:&nbsp;</span><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><br style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;"" /><a href=""https://vk.com/ksenmart"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/vkontakte_t.png"" alt="""" width=""38"" height=""38"" /></a><span style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""></span><a href=""http://zelslon.com/"" target=""_blank"" style=""font-size: 12.1599998474121px; line-height: 15.8079996109009px;""><img src=""images/web-big.png"" alt="""" width=""38"" height=""39"" /></a></span></p>";Italon;Россия;;"gb2;dj2;dj3;dj4";;1434631314.3317.jpg;"Персиковый;Серый";Хлопок;"44-46;46-48;48-50";
